cc_alias	language	lexeme	status	lexeme_source	cognacy_source	comment
bark-A	Malayalam	paṭṭa		Andronov 1964 (B)	Andronov 1964 (B); Burrow Emeneau 1961:346 (A)	; set - 3876
bark-A	Tamil	paʈʈe		Andronov 1964 (B); Kolipakam fieldwork (A)	Andronov 1964 (B); Burrow Emeneau 1961:346 (A)	; set - 3876
bark-A	Telugu	paṭṭa		Andronov 1964 (B)	Andronov 1964 (B); Burrow Emeneau 1961:346 (A)	; DED3876
bark-B	Kannada	nāru		Andronov 1964 (B)	Andronov 1964 (B)	
bark-C	Kurukh	o:ɖak		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:74 (A)	DED757
bark-D	Koya	beɾaɖu		Kolipakam fieldwork (A)	Kolipakam (B)	high quality look alike of DED4417(pg. 391), but not on DED list.
bark-D	Telugu	beɾaɖu		Kolipakam fieldwork (A)	Burrow Emeneau 1961:391 (A)	DED4417
bark-E	Kodava	tʃekke		Kolipakam fieldwork (A)	Burrow Emeneau 1961:11 (A)	set - 98
bark-F	Koya	danʈi		Kolipakam fieldwork (A)	Kolipakam (B)	self-identified
bark-G	Kannada	togaʈi		Kolipakam fieldwork (A)	Kolipakam (C)	self-identified
bark-H	Toda	puʈkoɾi		Kolipakam fieldwork (A)	Kolipakam (C)	self-identified
bark-I	Tulu	ketta		Kolipakam fieldwork (A)	Kolipakam (C)	self-identified
bark-J	Gondi	to:l		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:313 (A)	DED3559
bark-J	Yeruva	to:lu		Kolipakam fieldwork (A)	Kolipakam (C)	self-identified
bark-K	Betta_Kurumba	meɾto:lə		Kolipakam fieldwork (A)	Kolipakam (C)	Self-identified
bark-K	Malayalam	maɾattoli		Kolipakam fieldwork (A)	Kolipakam (C)	self-identified
bark-L	Brahui	bund		Kolipakam (fieldwork) (A)	Kolipakam (B)	No obvious cognate or entry in DED
bark-M	Kolami	ɖanɖi maɖɖa		Kolipakam (fieldwork) (A)	Kolipakam (B)	No obvious cognate or entry in DED
bark-N	Kota	kollutʃo		Kolipakam (fieldwork) (A)	Kolipakam (B)	No Obvious cognates or entry in DED
belly-A	Malayalam	ʋajaɾə		Kolipakam fieldwork (A)	Burrow Emeneau 1961:474 (A)	Set-5259
belly-A	Tamil	vayiṟu		Andronov 1964 (B)	Burrow Emeneau 1961:474 (A)	Set-5259
belly-A	Toda	piɾ		Kolipakam fieldwork (A)	Burrow Emeneau 1961:474 (A)	Set-5259
belly-A	Tulu	bandʒi		Kolipakam fieldwork (A)	Burrow Emeneau 1961:474 (A)	Set-5259
belly-A	Yeruva	baiɾu		Kolipakam fieldwork (A)	Kolipakam (B)	High quality look alike, but not in the list of DED 5259, pg: 474.
belly-A	Yeruva	ba:ɾə		Kolipakam fieldwork (A)	Kolipakam:474 (B)	High quality look alike, but not in the list of DED 5259, pg: 474.
belly-B	Badga	oʈʈe		Kolipakam fieldwork (A)	Kolipakam (B)	High quality look alike, but not in the list of DED 4494, pg: 397.
belly-B	Betta_Kurumba	poʈʈi		Kolipakam fieldwork (A)	Dunn (B)	reasonable lookalike
belly-B	Kannada	hoṭṭe		Andronov 1964 (B)	Andronov 1964 (B)	
belly-B	Kannada	hoʈʈa		Kolipakam fieldwork (A)	Burrow Emeneau 1961:397 (A)	Set-4494 DED form has Potte, but change from p>h (proto-dravidian to kannada) indicated.
belly-B	Kodava	poʈʈe		Kolipakam fieldwork (A)	Kolipakam (B)	High quality look alike, but not in the list of DED 4494, pg: 397.
belly-B	Malto	puɖa:		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:397 (A)	Set 4494 "Ka. poṭṭe belly, paunch, stomach, womb; poḍe belly, pregnancy; puṭṭi belly. Tu. poṭṭè pregnancy; poṭṭebañji a pot-belly (bañji belly); boḍḍe stout man. Te. poṭṭa belly."
belly-B	Parji	poṭṭa		Andronov 1964 (B)	Burrow Emeneau 1961:397 (A)	Set-4494
belly-B	Telugu	poʈʈa		Kolipakam fieldwork (A)	Burrow Emeneau 1961:397 (A)	Set-4494
belly-C	Telugu	kaɖupu		Kolipakam fieldwork (A)	Burrow Emeneau 1961:112 (A)	Set-1198
belly-D	Koya	ɖokka		Kolipakam fieldwork (A)	Kolipakam (C)	Self-Identified
belly-E	Tamil	tonti		Kolipakam fieldwork (A)	Burrow Emeneau 1961:308 (A)	Set-3507
belly-F	Tamil	toppai		Kolipakam fieldwork (A)	Kolipakam (C)	Self-Identified
belly-G	Kurukh	ku:l		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:200 (A)	DED2244
belly-H	Brahui	peɖʰ		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:371 (A)	DED4193
belly-H	Gondi	pi:ɾ		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:371 (A)	DED4193
belly-H	Ollari_Gadba	pudug		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:371 (A)	DED4193
belly-I	Kuwi	banɖi		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:348 (A)	DED3898
belly-J	Kolami	ʈeʈʈe		Kolipakam (fieldwork) (A)	Kolipakam (B)	No obvious cognates or entry in DED
belly-K	Kota	naɖpe:ʈgu		Kolipakam (fieldwork) (A)	Kolipakam (B)	No obvious cognates or entry in DED
big-A	Gondi	pedda		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:391 (A)	DED4411
big-A	Koya	beɾɾa		Kolipakam fieldwork (A)	Verkerk (B)	high quality look-alike
big-A	Kuwi	be:ɾ		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:391 (A)	DED4411
big-A	Malto	be:ɖo		Kolipakam (fieldwork) (A)	Dunn (B)	High quality cognate candidate
big-A	Parji	berto		Andronov 1964 (B)	Burrow Emeneau 1961:DED4411 (A)	DED4411; "Pa. berto big;"
big-A	Tamil	peɾija		Andronov 1964 (B); Kolipakam fieldwork (A)	Andronov 1964 (B); Burrow Emeneau 1961:DED4411 (A)	; DED4411; "Ta. peru, perum, pēr great; peritu that which is great, big, large; greatly; periya large, great, elder, important; "
big-A	Tamil	perəsə		Kolipakam fieldwork (A)	Verkerk (C)	Not in DED4411, look-alike but doubtful
big-A	Telugu	pedda		Kolipakam fieldwork (A)	Andronov 1964 (A); Burrow Emeneau 1961:DED4411 (A)	; DED4411; "Te. perũgu, per(u)gu, per(u)vu to grow, grow up, increase, accumulate, be augmented, expand, extend; perũguḍu growth, increase; perime, pemme greatness, power, authority; pērima grandeur, magnificence; pērimi greatness, eminence; pēru great, large, much; pēr(u)cu to increase, rise, swell; pekku many; pekkaṇḍru, pekkuru many persons; pekkuva increase, growth, development, excess; (inscr.) perddaḷ elders; pedda great, big, large, long, tall, old, senior, chief, respectable; an elder, superior, head man; peddayu adv. much, very, exceedingly; peddi mother's elder sister; peccu excess, addition; heccu, eccu increase, greatness; much, more, superior, excessive; vb. to increase, rise; penu (before consonant), penn- (before vowel) large, big, great; pencu to enlarge; pellu excessiveness, greatness; excessive, much, great; greatly, much, very; pellidamu greatness, excessiveness; peluca much, exceeding; pelucana greatness, excessiveness; bebbuli a royal tiger.; "
big-B	Kodava	baljadə		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED5276 (B)	DED5276; "Koḍ. bala power, strength; balate right (hand); ballyë great."
big-B	Malayalam	ʋaludə		Kolipakam fieldwork (A)	Andronov 1964 (B); Burrow Emeneau 1961:DED5276 (B)	; DED5276; "Ma. val, valu, valiya strong, powerful, great; valiyā forcibly, suddenly; valaṅ-kai right hand; valam the right or strong side; valippam, valima greatness, bigness; valluka to be able, strong; vallabham power, capacity; vanpu greatness, strength; vampikka to grow large, grow arrogant"
big-B	Yeruva	baleji		Kolipakam fieldwork (A)	Verkerk (B)	high-quality look-alike
big-C	Badga	doɖɖadə		Kolipakam fieldwork (A)	Verkerk (B)	high quality look-alike
big-C	Kannada	doɖɖadu		Kolipakam fieldwork (A)	Andronov 1964 (B); Burrow Emeneau 1961:DED3491 (B)	; DED3491; "Ka. doḍḍa big, large, stout, thick, great, extensive, spacious, respectable, eminent, important, chief, principal, loud;"
big-D	Tulu	malla		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED4729 (B)	DED4729; "Tu. malla, mallavu, mallāvu great, large, big, extensive, chief, principal, important, loud;"
big-E	Toda	ittu:ɖə		Kolipakam fieldwork (A)	Verkerk (B)	Cannot be related to any of the forms
big-F	Betta_Kurumba	dappu		Kolipakam fieldwork (A)	Dunn (B)	apparent singleton
big-G	Brahui	ballun		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:476 (A)	DED5276
big-H	Kurukh	koha		Kolipakam (fieldwork) (A)	Kolipakam (B)	no other obvious cognates
big-I	Ollari_Gadba	muɾe		Kolipakam (fieldwork) (A)	Kolipakam (B)	No other cognate or entry in DED
big-J	Kota	toɖut		Kolipakam (fieldwork) (A)	Kolipakam (B)	No other cognate or entry in DED
bird-A	Tamil	paɾaʋai		Andronov 1964 (B); Kolipakam fieldwork (A)	Andronov 1964 (B); Burrow Emeneau 1961:DED4020 (A)	; DED4020: Ta. paṟa (paṟapp-, paṟant-) to fly, hover, flutter, move with celerity, hasten, be in a hurry, be greatly agitated, be scattered, dispersed, disappear; paṟapaṟa (-pp-, -tt-) to hasten, hurry; paṟati over-hastiness, over-anxiety; paṟappaṉ hasty person; paṟappu flying, haste, anxiety; paṟappai, paṟal bird; paṟavai bird, wing, feather, bee; paṟi (-v-, -nt-) to run away (as a horse), flow out quickly, be displaced suddenly, give way, fly off (as steam), be discharged (as an arrow); paṟai flying, wing, feather, bird; pāṟu (pāṟi-) to run, flee, be scattered, give way, be in disorder, cross over; n. hawk, kite, falcon, eagle; ruin; pāṟal heavy shower; bull (cf. meaning of Ka. vb. pāṟu).
bird-A	Toda	paɾaʋai		Kolipakam fieldwork (A)	Burrow Emeneau 1961:358 (C)	set-4020 - Not listed in the DED form: To. po·ṟ- (po·ṟy-) to fly; po·ṯ- (po·ṯy-) to teach (young) to fly; o·ṟc- (o·ṟ&cangle;-) to throw in air and catch (jackstraws, coins). Could be a loanword from Tamil?
bird-B	Betta_Kurumba	pikki	LOAN	Kolipakam fieldwork (A)	Dunn (L)	Clear cognate to loans in other languages
bird-B	Kannada	hakki	LOAN	Andronov 1964 (L)	Andronov 1964 (L)	
bird-B	Kannada	pakʂi	LOAN	Kolipakam fieldwork (A)	Kolipakam (L)	Same as loan word in closely related language
bird-B	Kodava	pakʂi	LOAN	Kolipakam fieldwork (A)	Kolipakam (L)	Same as loan word in closely related language - Andronov
bird-B	Kota	pakkigaɭ	LOAN	Kolipakam (fieldwork) (A)	Kolipakam (L)	similar to other forms
bird-B	Malayalam	pakʂi	LOAN	Kolipakam fieldwork (A)	Andronov 1964 (L)	Loanword according to Andronov
bird-B	Telugu	pakʂi	LOAN	Kolipakam fieldwork (A)	Andronov 1964 (L)	Loanword according to Andronov
bird-B	Tulu	pakki	LOAN	Kolipakam fieldwork (A)	Kolipakam (L)	Same as loan word in closely related language - Andronov
bird-B	Yeruva	paktʃi	LOAN	Kolipakam fieldwork (A)	Kolipakam (L)	Same as loan word in closely related language - Andronov
bird-C	Gondi	piʈʈə		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:368 (A)	DED4154
bird-C	Kolami	piʈʈa		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:368 (A)	DED4154
bird-C	Koya	piʈʈe:ku		Kolipakam fieldwork (A)	Verkerk (B)	high quality look-alike
bird-C	Telugu	pitta		Kolipakam fieldwork (A)	Andronov 1964 (A); Burrow Emeneau 1961:DED4154 (A)	; DED4154
bird-D	Malayalam	kili		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED1584 (C)	DED1584: Ta. kiḷi, kiḷḷai parrot.
bird-E	Kuwi	minu	EXCLUDE	Kolipakam (fieldwork) (A)	Kolipakam (X)	Doubtful translation
bird-F	Malto	pudʒudu		Kolipakam (fieldwork) (A)	Kolipakam (B)	No obvious cognates or entry in DED
bird-G	Brahui	tʃok		Kolipakam (fieldwork) (A)	Kolipakam (B)	No obvious cognates or entry in DED
bird-H	Kurukh	oɖa		Kolipakam (fieldwork) (A)	Kolipakam (B)	No obvious cognates or entry in DED
bird-I	Ollari_Gadba	titə		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:286 (A)	DED3275
bite-A	Betta_Kurumba	kaɖi ~ kajɾi		Kolipakam fieldwork (A)	Dunn (B)	clear cognate
bite-A	Brahui	kaat kanning		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961 (A)	DED1124
bite-A	Kannada	kaḍi-		Andronov 1964 (B)	Andronov 1964 (B)	
bite-A	Kodava	kaɖi		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED1124 (A)	
bite-A	Kota	kaɖə		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961 (A)	DED1124
bite-A	Malayalam	kadikkuga		Kolipakam fieldwork (A)	Andronov 1964 (B); Burrow Emeneau 1961:DED1124 (A)	; -kkuga is a verb ending (from online Malayalam dictionaries)
bite-A	Tamil	kaɖi		Andronov 1964 (B); Kolipakam fieldwork (A)	Andronov 1964 (B); Burrow Emeneau 1961:DED1024 (A)	; 
bite-A	Yeruva	kaɖi		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED1124 (B)	Identical to DED forms
bite-B	Toda	paɾtʃiʈtʃi		Kolipakam fieldwork (A)	Dunn (C)	No evidence to linking this to any other class
bite-C	Kolami	atekaʂin		Kolipakam (fieldwork) (A)	Kolipakam (B)	No obvious cognate or entry in DED
bite-D	Koya	koɾaka		Kolipakam fieldwork (A)	Dunn:DED2164 (C)	Good quality lookalike to DED2164
bite-D	Parji	kork-		Andronov 1964 (B)	Andronov 1964 (B); Burrow Emeneau 1961:DED2164 (A)	; 
bite-D	Telugu	koɾuku		Andronov 1964 (B); Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED2164 (A)	
bite-F	Badga	katʃtʃə		Kolipakam fieldwork (A)	Dunn:DED1097 (B)	Identical to sister Kannada term from DED
bite-F	Gondi	kask		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961 (B)	DED1097
bite-F	Kannada	katʃtʃu		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED1097 (A)	
bite-F	Koya	katʃtʃa:		Kolipakam fieldwork (A)	Dunn:DED1097 (B)	Identical to sister Kannada term from DED
bite-F	Kurukh	kʰatʃtʃna		Kolipakam (fieldwork) (A)	Kolipakam (B)	high quality look alike to 1097
bite-F	Kuwi	katʃine		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961 (A)	DED1097
bite-G	Tulu	tina:ɾa		Kolipakam fieldwork (A)	Dunn (C)	No evidence to linking this to any other class
bite-H	Malto	ko:hi		Kolipakam (fieldwork) (A)	Kolipakam (B)	No obvious cogante or entry in DED
black-A	Badga	kappə		Kolipakam fieldwork (A)	Jordan:DED1278 (B)	Lookalike with members of DED1395
black-A	Betta_Kurumba	kaɾtənu ipədə		Kolipakam fieldwork (A)	Jordan:DED1278 (B)	Lookalike with members of DED1395
black-A	Gondi	kaɾə		Kolipakam (fieldwork) (A)	Buck 1949:130 (A)	DED1395
black-A	Kannada	kappu		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED1395 (B)	B&E form: kaṟe, kaṟi blackness, the colour black, stain, blot; kaṟṟage, kaṟṟane blackly, blackness; karpu, kappu blackness
black-A	Kodava	kaɾtadə		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED1395 (B)	B&E form: Koḍ. kara- (karap-, karat-) to become black; karapï blackness; karatë black; kare stain More likely to be a member of DED1395 than DED1278
black-A	Kota	kaɾuppə		Kolipakam (fieldwork) (A)	Buck 1949:130 (A)	DED1395
black-A	Koya	ka:ʈe		Kolipakam fieldwork (A)	Jordan:DED1278 (B)	Lookalike with members of DED1395
black-A	Malayalam	kaɾuppə		Kolipakam fieldwork (A)	Andronov 1964 (B); Burrow Emeneau 1961:DED1395 (A)	; B&E form: kaṟuppu, kaṟu
black-A	Tamil	kaɾəppə		Andronov 1964 (B); Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED1395 (B)	1395 Ta. kaṟu (-pp-, -tt-) to grow black, darken, ... kaṟukaṟu (-pp-, -tt-) to become very black; kaṟuppaṉ black man, a demon; kaṟuppu blackness, darkness, spot, taint, moral defect Some confusion with DED1278 kar-
black-A	Toda	kappə		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED1395 (B)	B&E form: kaṟf- (kaṟt-) to become black, dark; kap black dot
black-A	Tulu	kappu		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED1395 (B)	This is "to become black". DED1278 lists Tu. kardů "black"
black-A	Yeruva	kaɾtaji		Kolipakam fieldwork (A)	Jordan:DED1278 (B)	Lookalike with members of DED1395
black-B	Koya	nalla		Kolipakam fieldwork (A)	Jordan (B)	Lookalike with e.g. Telugu nalla and other members of DED3613
black-B	Telugu	nalupu		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED3613 (A)	
black-B	Telugu	nalla		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED3613 (A)	
black-C	Kuwi	kadia		Kolipakam (fieldwork) (A)	Kolipakam (B)	apparent singleton. No entry in DED
black-D	Brahui	ma:on		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:DED4781 (A)	Br. maun black, dark (of night).
black-D	Kurukh	mokʰaɾo		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:DED4781 (A)	Kui māsu dusk, twilight. Kur. māxā night; māxnā to grow dark, be overtaken by night; mōxārō black, dark-complexioned.
black-E	Kannada	karu-		Andronov 1964 (B)	Burrow Emeneau 1961:DED1278 (B)	B&E form: Ka. kari to be scorched, singed, charred; fry, roast; n. state of being scorched, frying, blackness, charcoal; karaku, kariku state of being scorched; karidu black; kar-, ka- id.; kargu to turn black (or with 1494 Ta. kār̤); kare blackness Unclear whether this is a member of DED1278 or DED1395
black-F	Malto	maɖhaɾo		Kolipakam (fieldwork) (A)	Kolipakam (B)	apparent singleton. no entry in DED
black-G	Kolami	ɖa:ɾiate		Kolipakam (fieldwork) (A)	Kolipakam (B)	apparent singleton. no entry in DED
blood-A	Badga	rattə	LOAN	Kolipakam fieldwork (A)	Dunn (L)	obvious shared form with sister languages
blood-A	Kannada	ɾakta	LOAN	Kolipakam fieldwork (A)	Andronov 1964 (L)	
blood-A	Malayalam	ɾektam	LOAN	Kolipakam fieldwork (A)	Andronov 1964 (L)	
blood-A	Tamil	ɾattam	LOAN	Andronov 1964 (L); Kolipakam fieldwork (A)	Andronov 1964 (L)	
blood-A	Telugu	ɾaktamu	LOAN	Kolipakam fieldwork (A)	Andronov 1964 (L)	
blood-B	Badga	nettuɾu		Kolipakam fieldwork (A)	Kolipakam (B)	High quality look alike to set - 3748 (pg.335), but not in DED list.
blood-B	Betta_Kurumba	nəttəɾə		Kolipakam fieldwork (A)	Kolipakam (B)	High quality lookalike to set - 3748
blood-B	Brahui	ditaɾ		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:335 (A)	DED3748
blood-B	Gondi	nettuɾ		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:335 (A)	DED3748
blood-B	Kolami	nettuɾ		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:335 (A)	DED3748
blood-B	Kota	ne:tuɾu		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:335 (A)	DED3748
blood-B	Koya	nettuɾ		Kolipakam fieldwork (A)	Kolipakam (B)	High quality look alike to set - 3748 (pg.335), but not in DED list.
blood-B	Kuwi	nettir		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:335 (A)	DED3748
blood-B	Ollari_Gadba	nettiɾ		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:335 (A)	DED3748
